mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
8iWsK2WH3AGviQwAnt43zvc8yLy6QMUSuv8PK2A7pump,ok,0,0,48.6259,63.4534,23669,2,49590.7,,0,unknown,0,1,
4N85aLJ65oNGQDgoY4qJ8taW7aaP49j7wdpGkkFTpump,ok,0,0,92.9909,97.3609,1347,0,3877.56,,0,unknown,0,747,Low Liquidity
25yPXcALwkJQg22yKD9HMjfbP5Pvhjh6XgQu7tcVpump,ok,0,0,70.2087,94.8097,3425,0,7537.42,,0,unknown,0,1,
FNyryJqndRYk4MaUGhgRnRwjEFfG8QejFPGNn8rypump,ok,0,0,100.0,100.0,19,0,0,,0,unknown,0,24600,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
5KMg2TW7Efyee2xp1BPQVmYw3yMvBMWwyVPZbgxupump,ok,0,0,100,100,1,0,1966.41,,0,"{'name': 'Pump.Fun',",0,1,
4NAPf5JaWt2wd2SCSNmhUctaGq86jAZy2t74PWfppump,ok,0,0,97.3089,98.8156,1105,0,3796.19,,0,unknown,0,859,Low Liquidity
5HKUKotP6o6NETnk4JLBRLnT8N9CXWDk8wyq2VXNpump,ok,0,0,85.3151,94.3079,1852,0,5993.29,,0,unknown,0,367,Low Liquidity
KMnDBXcPXoz6oMJW5XG4tXdwSWpmWEP2RQM1Uujpump,ok,0,0,30.3201,45.8766,54103,0,203243.06,,0,unknown,0,1,
5gdyZKYfAFNsJSR246Y6Kv6L6Jwu8S5Q6JHvRU3tpump,ok,0,0,73.7097,95.0097,3282,0,0.83,,0,unknown,0,14000,Large Amount of LP Unlocked|Low Liquidity
DjW9BcWdpqohQgPVTasmBCnSupkcW12rEMLCsTJepump,ok,0,0,100,100,2,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
E4xaqq3DXh1VQ9xDHYXPQeu7Yau5bAXm7qgveFAUpump,ok,0,0,100,100,2,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
5vHFaW2f16gkpxcfDp7J3a3cjtrdJH7ErJVShFXCpump,ok,0,0,85.6282,95.2721,1665,0,6304.51,,0,unknown,0,51,Low Liquidity
BaY1AKJhocqamC8vxXYYZWgB5CWwC73XFoXny9K5pump,ok,0,0,81.3393,94.7785,1892,0,5198.34,,0,unknown,0,93,Low Liquidity
FRD6HpHLYY8Sfkz5J4zFrDWu8WsdXjugBUsseYd9pump,ok,0,0,86.1678,97.4516,1416,0,4915.19,,0,unknown,0,248,Low Liquidity
Ha8eutW84CRHSfsCUjXsE1kVrsArLrxwxEEEEwaFpump,ok,0,0,95.6211,98.0087,1895,0,8987.7,,0,unknown,0,247,Low Liquidity
BVxi7Le7GDcdiHg5teDQZKHhUC1aaQjy48La9yMPpump,ok,0,0,64.8862,79.4358,7747,0,14667.37,,0,unknown,0,1,
5VhrD34MxUhect76Ys5HCzgvXpq2DA15MWrmbHyqpump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
9KRXddfHPTjqHmbNSStvzPTbWQyp8JJocofXJNeXpump,ok,0,0,93.8539,97.3162,4475,0,6954.99,,0,unknown,0,1,
A9LGYefYUs67MM7GY87nnBF1jbMF2JXY9CQf6ZvKpump,ok,0,0,100.0,100.0,3,0,2867.41,49,0,"{'name': 'Pump.Fun',",0,117601,Creator history of rugged toke
7Texf8T2jMLQg4AB81YnsbT6yjWhMPgTVzNpjTAdpump,ok,0,0,97.6068,99.6621,1448,0,4152.21,,0,unknown,0,653,Low Liquidity
DCytmrbDe7fp5WzgXwMZ5KZBsBhSysx5daKKbmypump,ok,0,0,93.2057,97.297,1914,0,5758.41,,0,unknown,0,153,Low Liquidity
GnfDNt2aejVH3JZ683p45cRtyT3rrAUXY4wmwjUbpump,ok,0,0,90.214,98.75,790,0,5112.26,,0,unknown,0,101,Low Liquidity
6xJv5nVWXMnJ3EbLNL9X2yPM6wtDkMLkWzcbbrqxpump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
57oKFu8yXheaUAZfqaqqykb9hhPRcJxpkfPa1XETpump,ok,0,0,100,100,4,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
7VLmqqHQbP6gkAxRL8o5Qua5MckL86YHDB3PoLm3pump,ok,0,0,99.4264,99.9444,124,0,3178.36,,0,unknown,0,1204,Low Liquidity
2EkXL7TMGcQkWDowZogVaB7JewSegJQE4vb9H45ppump,ok,0,0,91.3224,96.9428,792,0,5525.23,,0,unknown,0,727,Low Liquidity
2GMEDWxPhdBicySMjUky49UHgXutxQ8SJjWyrcKPpump,ok,0,0,66.9573,78.1442,7914,0,15912.62,,0,unknown,0,1,
5awNe63QjMp5icfBdV8ogsaZxV5eFEHCzXGMYyBJpump,ok,0,0,100.0,100.0,3,0,0,,0,unknown,0,26599,Top 10 holders high ownership|Single holder ownership|Low Liquidity|Copycat token|High ownership
9t6jCyNTWxqdmQzsKYH7Ptx8YsvYLi6D1xy2YRZGpump,ok,0,0,91.9041,98.2561,952,0,4011.03,,0,unknown,0,793,Low Liquidity
HLd7d1fovMX3Ho9n9uGjkS5z3Vmu13CJpur5t4kpump,ok,0,0,100,100,2,0,1905.79,,0,"{'name': 'Pump.Fun',",0,1,
BEFwum5Foqs6V547MHZCNDuoDcaqDms7T7gmmq5gpump,ok,0,0,95.4126,99.479,1197,0,5839.59,,0,unknown,0,1,
599QcRGqpAYzTNBkQu3jVtgzKmYWH2DbuCEvtqCnpump,ok,0,0,86.5645,99.6991,44,0,0.01,,0,unknown,0,23282,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Mutable metadata
BrmikRsDFfiCsAT7MmngaWZpBu4twUKk1rM8Ywnxpump,ok,0,0,94.2423,99.0491,817,0,5932.45,,0,unknown,0,909,Low Liquidity
HPfY3VCj1twecf556rDFWLJpDfh1vPoTtBjPehzKpump,ok,0,0,79.0364,88.4573,5714,0,13566.51,,0,unknown,0,1,
CqpmoKZMje9irc3FVwJ2kAZvHBneCUEUaVaJ2VRqpump,ok,0,0,100,100,1,0,0,,0,unknown,0,26601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|Copycat token|High ownership
26LDHcthoC5jeQtYJFyRJ14yFVYqwsrMDznAUhWepump,ok,0,0,80.1651,90.7925,3970,0,8012.89,,0,unknown,0,1,
24Kqyw51bPrWm7EtPf51jD15hxNEvHDKtM5d6zLCpump,ok,0,0,96.9544,99.5065,363,0,3348.89,,0,unknown,0,1144,Low Liquidity
7w5897D6jjE4Hjsz6ZNYsPzWewHYJHBvi8HvSNQEpump,ok,0,0,99.8972,100.0,6,0,0.0,,0,"{'name': 'Pump.Fun',",0,1,
AdnFCiHpJgxQJVZqgUSGLToRbgpkbozT6Ynpic9ipump,ok,0,0,74.3802,90.8171,2038,0,6178.12,,0,unknown,0,1,
9FyvApf4t4BXhtT35LqHCeX2oewR1tcP2cNBbqkhpump,ok,0,0,87.9388,95.0047,836,0,4232.46,,0,unknown,0,776,Low Liquidity
F2GVPgWyN4yBSv8zmSw9TmgunQcv7K7MzceFVZzxpump,ok,0,0,69.3244,85.0655,2826,0,8463.02,,0,unknown,0,1,
CzZERqaniBNkqfJTvNM4TFe1z5SnKjBkc4n2ePZMpump,ok,0,0,98.2824,99.8068,234,0,3723.86,,0,unknown,0,1162,Low Liquidity
ESiH7htFwV39fV2ZFB5qj2UeaDV5JAFYWxMGG4Anpump,ok,0,0,99.707,100.0,35,0,0,,0,unknown,0,24569,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
Dvi5JAn8NrUg4q4Q9vJtg5fFpF1Wz8ArfbScNhsapump,ok,0,0,86.9399,97.5001,1524,0,5302.29,,0,unknown,0,886,Missing file metadata|Low Liquidity
5ALyj6YHFG3gr5vg2NoyHewf4qNcoEjcfEegj1Mxpump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
E1KD5GK2xRCGqyajBw3aBh8Ffngtnjpb3otXdEBLpump,ok,0,0,100,100,9,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
EDPL6LGZzTe1KQxeb5JXG9s1ExBWk9QgEJk2GKJvpump,ok,0,0,91.797,98.0524,1974,0,6549.31,,0,unknown,0,1,
4zWTeUFXu8TAm3PK26YFPBFy7x9qFCyj4272WHtkpump,ok,0,0,91.5507,98.0394,977,0,3978.82,,0,unknown,0,812,Low Liquidity
CaWca9bSxYrmPb8DKabFGcotQFL6hQkbcbD8MGopump,ok,0,0,94.8162,99.5021,386,0,6123.92,,0,unknown,0,939,Low Liquidity
98vyHoVW7NqyzYjBXHKqbJVaJrer9nj7qijQXcVApump,ok,0,0,99.9464,100.0,3,0,1733.26,5,0,"{'name': 'Pump.Fun',",0,12001,Creator history of rugged toke
6zPhNvAHpvbSeEx5akLut846chwz5haYwCqLqDJMpump,ok,0,0,22.5063,90.687,53,0,79.67,,0,unknown,0,24799,Large Amount of LP Unlocked|Top 10 holders high ownership|Low Liquidity|Single holder ownership|Low amount of LP Providers|Mutable metadata
