address,flags
0xacf03ff3a073f38c9e8837d36e768bfdcbf3489a,
0xb09e66b66b7daa35699496ff560e1034990e5e3a,stealing_attack
0xb0fa1f34899f5017bf2f7506a205ebe414a77301,stealing_attack
0xb1cf7880351e6d16313c03a6686b4c8a5ba6372a,stealing_attack
0xb30ec53f98ff5947ede720d32ac2da7e52a5f56b,
0xb389b4b4a8a6e267ca0712321cdca5c856ef8a72,
0xb42f812a44c22cc6b861478900401ee759ebead6,phishing_activities|stealing_attack
0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,
0xb6b26e412f2fdaa7d8d56d613811fa2ff77f99f3,
0xb86369ed3754a404c5c0d5aa9da6400a9466053e,
0xb8defd92a3e6e1c930b85a02af1024f5defe11b1,
0xb9e19c5f6a07f3c11cb863506844b5d368cdfefd,
0xba36735021a9ccd7582ebc7f70164794154ff30e,stealing_attack
0xba8d86573139e6640ed30dfcedad268b655ac760,
0xbacef3a142e39f14f4f15e22e9248ee4141af18f,blacklist_doubt
0xbcbcb0e7e28414e084c4a40c1ccc30b75629a7de,
0xbcedc4f3855148df3ea5423ce758bda9f51630aa,stealing_attack
0xbda83686c90314cfbaaeb18db46723d83fdf0c83,stealing_attack
0xbdd077f651ebe7f7b3ce16fe5f2b025be2969516,stealing_attack
0xbeef0000072943d4872462d9c7bd727f672ecb27,
0xbfc560a48619e2ff496adcd76f5974a5d4236f6b,
0xc05c060759b0fc22cc0c7ab7aa609688a06493e0,
0xc310e760778ecbca4c65b6c559874757a4c4ece0,
0xc4173a794122644870c8fd07c226acf992507897,
0xc955915bd7fa544d26d5bb6547a8169cb37130c4,
0xc98963115fd7062a408974d801ca7f2963787687,
0xcae0c218a5ae785b533275e299bf7ac30834a8bc,
0xcf28556ee95be8c52ad2f3480149128cca51dac1,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,
0xd2637a42fdd65f981148f3fc480db2a57b418fb6,
0xd294ac18b524ff59ab7fffcbd459f11128220550,
0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146,
0xd4ac8325131512d792eeadd73b694b744de9d947,
0xd7aa2bd9e9407f682a379bed346088b0849b6434,stealing_attack
0xd7ad5a1db7739c01d9b4471c5b9ffb871f625941,
0xd95e6eab231b9f3afa24c31c7050bd84c2982072,
0xda79e97c5ada3fdb196e7c49194ce5352ba48861,
0xdbf0fc04bd11aae76d166fd08a6fef0b43e1dcbd,stealing_attack
0xdd39c04f784506b718f4f8e4ba7f4b8d3deafb68,stealing_attack
0xddb5ded6c513747b8b831d7521e00c3202bc08fd,
0xdde8cb0c5b05784093c9027519ba3d1f0326d303,stealing_attack
0xde617b937b6707179b858cb09645df6aa5922a4e,
0xe03a1ae400fa54283d5a1c4f8b89d3ca74afbd62,stealing_attack
0xe140fa14b320b6fc84405f8e633bd9877ceaec58,
0xe28b3b32b6c345a34ff64674606124dd5aceca30,
0xe56d461f957bb0e81ab6d1c15926cd9653aa6333,stealing_attack
0xe6832447c4286e2daa8d18fcb75ab2f608843c70,
