mint,status,mint_auth,freeze_auth,top1_pct,top10_pct,holders,lp_providers,lp_locked_pct,liquidity_usd,transfer_fee_pct,creator_rug_count,insiders,insider_pct,launchpad,rugged,score,top_risk
HY5a622vSTGxz87cLZwf3BPHcr4hdVGnxoy6WJsjpump,ok,0,0,77.911,99.99,41,0,100,0.06,0,,0,0.0,unknown,0,28000,Freeze Authority still enabled
J5uwRS2MQ4Gkz4EzES3toKGCUvguWjZVZzBQdRt8pump,ok,0,0,100,100,8,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
5fY5zn1HNVXnStXKDk5qYv7ZM9MaktEXioBmG7wQpump,ok,0,0,98.376,99.29,615,0,100,3758.63,0,,0,0.0,unknown,0,1002,Low Liquidity
5vH9naS4wh7Q9HpHJRwQTuQdbJpAYWGmV9tFUvGtpump,ok,0,0,100,100,2,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
bfTHwXHeTMiv7eXMFkHR9ZuajvFNWVzpxMYM487pump,ok,0,0,95.945,97.57,1101,0,100,4256.44,0,,0,0.0,unknown,0,1044,Low Liquidity
EqCv11ma29k9EWKC3JC1SdtVgFEWnbKV3djS2DRUpump,ok,0,0,92.649,97.92,1637,0,100,4089.65,0,,0,0.0,unknown,0,709,Low Liquidity
FagmG1EQDgaLVXtHRCaH4bRqxJ521RQtskXtcKGrpump,ok,0,0,77.553,95.26,353,0,100,3880.34,0,,0,0.0,unknown,0,800,Low Liquidity
CbM95hzw5MCYkQtVvZMABjCUrZchwRdiAHB6Fc8Upump,ok,0,0,73.037,97.23,45,0,100,0.04,0,,0,0.0,unknown,0,46424,Freeze Authority still enabled
Ajo3Li51QCmSQcTXb3NCNbDWgG66KBmDAJmN6umSpump,ok,0,0,90.636,97.56,1138,0,100,4064.88,0,,0,0.0,unknown,0,926,Low Liquidity
EnUmHrA2EH7RNPJbesw891LAW4eLqyiHXJDdKZgwpump,ok,0,0,100.0,100.0,2,0,0.0,0,0,,0,0.0,unknown,0,24600,Top 10 holders high ownership
3r47KcqjfQDyG1PvC1UfNbApCDeZsaufw6hWnPGVpump,ok,0,0,98.874,99.61,453,0,100,3832.24,0,,0,0.0,unknown,0,945,Low Liquidity
1254YT9pX4kaczmZi22TF83aAPQ24vyDdoybqPU4pump,ok,0,0,97.816,99.34,514,0,100,4779.89,0,,0,0.0,unknown,0,1113,Low Liquidity
EYbMYFevPgF3dWGKVa9FDy5BpfGJuKfRHqdP7tghpump,ok,0,0,100.0,100.0,2,0,0.0,0,0,,0,0.0,unknown,0,24599,Top 10 holders high ownership
2kATD4v94ahnHyB8rHywAdLUwWAWAiDq9heMqmVEpump,ok,0,0,90.254,94.91,6966,0,100,9518.75,0,,0,0.0,unknown,0,1,
BZ5hNBbKrrNPxVwKFmosuLwpGDFMKUJ9RiWrCXBTpump,ok,0,0,97.172,99.67,195,0,100,3076.03,0,,0,0.0,unknown,0,1292,Low Liquidity
