mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
9AGm8DWXiB4PwvH1V2r31ChsTE2f2TDySvDbfJmfaMBq,ok,0,0,99.9722,99.9959,243,0,10.47,,0,unknown,0,24689,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Mutable metadata
ChanGGuDHboPswpTmKDfsTVGQL96VHhmvpwrE4UjWssd,ok,0,0,51.1327,97.3982,13234,2,139103.13,,0,unknown,0,1,
52DfsNknorxogkjqecCTT3Vk2pUwZ3eMnsYKVm4z3yWy,ok,0,0,50.2026,72.326,9204,3,12266.26,,0,unknown,0,1,
65nTNuJGHme4PQvKQyJykKp1bJAkK4A8Q66sd2yBWugf,ok,0,0,20.838,34.1279,52451,13,140898.67,,1,unknown,0,1,
HxRELUQfvvjToVbacjr9YECdfQMUqGgPYB68jVDYxkbr,ok,0,1,41.2844,75.7353,9508,1,3231.96,,0,unknown,0,26889,Freeze Authority still enabled|Low Liquidity|Missing file metadata
HezGWsxSVMqEZy7HJf7TtXzQRLiDruYsheYWqoUVnWQo,ok,0,0,24.029,70.4798,2856,0,343.4,,0,unknown,0,23469,Large Amount of LP Unlocked|Top 10 holders high ownership|Low Liquidity|Single holder ownership|Mutable metadata
7m2TUkpPZCScBhPJnGjWjbh75KkDNnwAdd7i74m8awad,ok,0,0,5.7815,38.8739,20369,1,383668.44,,0,unknown,0,1,
A2GHnfpZvyeZX5Pr63jdMmo9uYbpaaKqHHuPD5xD2n6v,ok,0,0,61.6849,81.8557,11226,10,65179.39,,0,unknown,0,1,
F8qtcT3qnwQ24CHksuRrSELtm5k9ob8j64xAzj3JjsMs,ok,0,0,68.5085,75.9171,16122,1,19675.21,,0,unknown,0,101,Mutable metadata
D8F1FvrUhwg8WBjMqABopFYo13WwymGnVhsL3d7dRexP,ok,0,0,76.1038,99.6863,5533,0,170578.78,,0,unknown,0,101,Mutable metadata
BqVHWpwUDgMik5gbTciFfozadpE2oZth5bxCDrgbDt52,ok,0,0,4.4237,24.5877,13936,3,23087.29,,0,unknown,0,1601,Symbol Mismatch|Mutable metadata
imsoru6juztJ4pTJvPQaTnY766uEmCVc4AQJ8V1Yuvs,ok,0,0,12.3522,35.02,4539,0,1071.99,,0,unknown,0,13454,Large Amount of LP Unlocked|Low Liquidity
82Rc22mnyHrmBGwj15rhYhFzVrU3bgFkjNtV3iHjpump,ok,0,0,48.9126,68.6867,15278,0,38637.55,,0,unknown,0,1,
9TPL8droGJ7jThsq4momaoz6uhTcvX2SeMqipoPmNa8R,ok,1,1,69.1122,92.8708,3747,0,17170444.0,,0,unknown,0,91468,Mint Authority still enabled|Freeze Authority still enabled|Top 10 holders high ownership|Single holder ownership|High ownership|Mutable metadata
2WUecdL1GQA6pwQs7sMsCf2shEfZxWK2RaNHkthmLtmK,ok,0,0,30.2947,82.939,2263,12,4563.62,,0,unknown,0,3620,Single holder ownership|Low Liquidity|Mutable metadata
2Ey5sa3XTtjaR6KGaVmX48MUtUAmrBT14JeWjQWJcc4h,ok,0,0,77.4435,86.4159,3074,0,6829.91,,0,unknown,0,1,
BKykA4H1s4717FhBGFhDXkKF4UzvvsWB4uxqHBWX8FUU,ok,0,0,83.2163,90.4807,2203,0,4202.87,,0,unknown,0,589,Low Liquidity
2XPqoKfJitk8YcMDGBKy7CMzRRyF2X9PniZeCykDUZev,ok,0,0,23.9177,47.1905,22575,1,68973.29,,0,unknown,0,1,
ox698TZsZAN2miNQj1FQb48A58FZ546c4sWqq9Y9vmU,ok,0,0,52.0219,73.8718,3585,0,8029.76,,0,unknown,0,1,
EtBc6gkCvsB9c6f5wSbwG8wPjRqXMB5euptK6bqG1R4X,ok,0,0,52.3215,65.8808,18705,0,15292.14,,1,unknown,0,101,Mutable metadata
