address,exists,owner_prog,acct_type,mint_auth,freeze_auth,supply,decimals,token2022_ext
12KhLjEd9F8MGn85afiXpRk3HuY2foR86o99oW7rmVeg,1,METEORA_DLMM,,0,0,,,
12L1MMfGsX7qumFCTkynw5fvGXcTHB3ZxWAFJeSLCHnY,1,SPL_TOKEN,mint,0,0,5080402871304696,8,
12L81wZprjfGvMuSQBpjT1x7TyuowZrPKrucvu99Jj27,1,METEORA_DLMM,,0,0,,,
12M1ib5cVVHpnUCyfDGfP3zymWfqRjfXDZK5RjiNrDEk,1,Eo7WjKq67rjJ,,0,0,,,
12MFqfHzADU9GZZpoLrf81RMktGabt5VRtmmYyWLeKMH,1,RAYDIUM_AMM,,0,0,,,
12N8fiF3EB6PnUWUFibpkccKUp4PSeZ3EiF1u2qnp4UG,1,RAYDIUM_AMM,,0,0,,,
12NCw1mtsUoVSLPyS6Y3SMEtyEjWMeHfkHLesbhk9hvc,1,RAYDIUM_AMM,,0,0,,,
12Na5pfPwc1AZQZdBoLsg2SM6Zp8zFAaVgp8itnJpump,1,SPL_TOKEN,mint,0,0,994708779261784,6,
12PAjZdfSrEvebCG9qWkoAfhaDXPaQcJBB4ucDTP4zd9,1,METEORA_DLMM,,0,0,,,
12Pei5caep6yk2JcPcF4CJZgM8vpkJNPw6LqtNvvbwQr,1,RAYDIUM_AMM,,0,0,,,
12PvkN1y3Md1XVeXvW9vAQqsxkcAh637CKWrtv7QiPc7,1,SPL_TOKEN,mint,0,0,9572667220808862,6,
12QkWEfBA3w4bKkzGyES93WoK1ef444hU37yBZRRc1Qj,1,RAYDIUM_AMM,,0,0,,,
12Qs1UGoV1WSxkME2W8VsKrTFBG3arsroguPYfYG8jdu,1,RAYDIUM_AMM,,0,0,,,
12Rpip25pRDFYELyrLprQt7sMQqUPG9jFa94hDULPNaJ,1,TOKEN_2022,mint,0,0,10502172885,6,metadataPointer|tokenMetadata
12SMfFvAXNCPQJQq9wA1izAPjqGyo2ytWgj1fBXNQuCK,1,SPL_TOKEN,mint,0,0,13283736541,2,
12SgZ1auKJgtyLXgW4Nc5wVzstVStfoQxe6ZXFi5gb3W,1,ORCA_WHIRLPOOL,,0,0,,,
12SrD4cupaxtEe7fuR3sBYDRV16jwmvU4iYT5syKpBek,1,SPL_TOKEN,mint,0,1,9920771913531620,7,
12TLrZf9pQNJJ4pYQWmyjhZyNHDhVyXSyz4db9DFxZM2,1,SPL_TOKEN,mint,1,1,100000000000000000,9,
12TVM66xuQvgYkyXUWNnB6Fgmaf3TDwTmKLLFpHcP2fu,1,METEORA_DLMM,,0,0,,,
12U2jTxTeMDruRkaEvqLvdqgnLs6XA5pXXiw7wDJpGsc,1,SPL_TOKEN,mint,0,0,1109667222698384232,8,
12UP9cSwe1tDzQg3KSEx1BpSS9nkpT5VkmDe4fSz4Hso,1,SPL_TOKEN,mint,0,0,22208199436699674,6,
12Ucwe3J9xX6Bb4MkctAbJBc2keLaYNJZbi75fmyfdJk,1,METEORA_DLMM,,0,0,,,
12VL46LMAU2bW98x9eZi61jinsZahw8TuatTaB3uL2LX,1,SPL_TOKEN,mint,0,0,97647552149753094,6,
12WA6LgpySqXsoRr895k63zcLaEjd5CDj7YQ844UkDvv,1,RAYDIUM_AMM,,0,0,,,
12WRu4BdJk1yM3Nk433yg3S9GnxniUdueeu29iMPpump,1,SPL_TOKEN,mint,0,0,996165083726233,6,
12WnYcuH8DonpxzgLADujkdNHWNBoFXakhLZP9Y2pump,1,SPL_TOKEN,mint,0,0,992207357169151,6,
12XSPDhe843mWmAxjSyXtGDzDuJP1XPBBRfoVAocdfLv,1,Eo7WjKq67rjJ,,0,0,,,
12Xsa7RHkjR33zQoGqNNBY6iwPHG4mrK781HUxURQpRR,1,RAYDIUM_AMM,,0,0,,,
12Xzs3mXthpCZHc5wd6KN8aFBAbrzN2jZuCPMq2mi77B,1,SPL_TOKEN,mint,0,0,996935481251764,6,
12YJuH9aDmLiYjmLcTxquRPQMNGCbinKGmQvf39XbWsY,1,SPL_TOKEN,mint,1,1,279381,0,
12YmctPskoUr8MpDpN5V9iwkodVBcJQBf2Uy6TnRojHG,1,SPL_TOKEN,mint,0,0,992365239551640,6,
12Yo1ooTNfKQZV2a2r52k2ar5L8uWDDU7bdVkoxnaHZa,1,RAYDIUM_AMM,,0,0,,,
12aGZp2Q3TaPMouLXGYVZWKUUJdCth2wxS1NVMDRFj8k,1,ORCA_WHIRLPOOL,,0,0,,,
12aLBCh2JdjGstCVX6oZUx3VcLAY2C4fdcuAxuMvvWQn,1,SPL_TOKEN,mint,1,0,14466966849320199,6,
12aVGio5EgK92Ff4SRwY73L1H4ohrhxDxZo8KpJagNUT,1,SPL_TOKEN,mint,0,0,238186085070001068,9,
12axRhGcPfHdg345DSdtzrj51vkf6uk2jAxDF5E1cQY,1,Eo7WjKq67rjJ,,0,0,,,
12b3TQnq9Y4imv8Ef9nUJhfT7gy4ybZy5Qt5dZxHDpHH,1,RAYDIUM_AMM,,0,0,,,
12b4KN2MZpsvJkAwc5U35Cecpiri9pv3ADuYHHodxQ8v,1,METEORA_DLMM,,0,0,,,
12bDxpetQ7E1NCn2HQzby2eX6tUYaBFwBh2X5RL4XkBA,1,ORCA_WHIRLPOOL,,0,0,,,
12c5ohSD9CxztRFGZjTxzRQi3pKhJCDSufwpKbgynHGq,1,SPL_TOKEN,mint,0,0,169676115237255031,8,
