mint,creator,rugged,score
21Wh4Bm9qr2Fn5XkAtaXHK3LvA15t184iz2WoNsFpump,52mXWzgdyhTYx5nBPxZEDCUn8RP6oPszZNrtBRiYAsJs,False,1
21pn2YfW4tqWJppH7x7me2N9gPaKJHtWYPdyW4Y6pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,952
2228n1BPZuuEdtm36mie5DtftZoqVGKXDKnqzG58pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,586
225s5y5iLmMTS6P23aYKHvN1d9ymZzuX4a21cbv3pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1321
22F6Sv6VnSfMZzc2QnB59q64tB8nUZAMbhs6rPVwpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,746
22geLqC2RAfXVecu8MQBKewxd1chi66oJtU3bvMkpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,26601
22s1LMjvaihCu7qwzYqdXZLYpTzLRsNXwuBCt76mpump,493fWZn7g1Yb8GVfUA6EyUNnmbfTCPavL7EpTabm4hpt,False,1
22tekTgH5gP8Cvd5LcwKfj1ohmsgPBqFHrFrmCQtpump,,False,1
22uAX3hk1ovtTCDkAWzVhCSEbFkFpSbVqPBqTSAtpump,2CKzD7LLjGrUsYzRQfisrQBpRUujdEM5U11aWZvNkP3z,False,24601
22xFvyBVYwaVLHkYv1u6qmJ864LMrx89JiLZ6YXXpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,284
22z2PqDSehzNr2wJg7VBE8uwhxuhcREpmD7w1TJzpump,J1qtAKnNEFfpxmqXf4VNmQiu5hpK5u8usHukdxJjdhMH,False,1
235WEEUyY84DE9ThnTDk9Rt1iTYHRVJUz48VtvrZpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,853
236kS8hYQbtyQPiR6LF3XH7pAiSu1L5YoFQQVXbRpump,,False,554
23Jh1srVN93KShMKYqxYRoG1x8cYjomjPzgGxVXmpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1130
23NRhXcAaJKHDD9BNHUktDcx1UgBTuTJ2EnYur3Npump,FcSDuw1CTCSvzLo5p78upkgWfvDEqPDN9ZAEV8j9iNWA,False,1786
23QxEHZm5HHHbZ4xPYrj3QrGH1VhS1JxZ6vgMWuqpump,DvcLzKeqpeDahQEq2Pd4qoTJpRcemJWmipCBWTDPci2A,False,24601
23TMbsdj2nmwWG24YRfAMycgZ5e8m28z1oNUXmZQpump,CMHGzP2Z46D5ibXKzPUwJX2GU4juzdFoSTX1kqT1Gctz,False,24601
23YjdQAyrjuM9wRaiwd3gwgiSxTYdZZBvpBpPXXQpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,340
23sHHHaQsEXJpbjuVmZhpM9CQTwfpeHXFWXEBXQgpump,,False,622
241yiGM5WC5cq8RPweo3peQLfLqo2VkM9UAnVnKepump,8gM4gnxdLdkvifM9TCwkGAxrnNw4NiSiHbAdE1RqY96e,False,1
246VzR5hKxTt6gDMUV8JyUvhDN65HXYQgdDFAZDmpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,981
247x7mn1ny3srDCZJpTTxcYh14Nwh6CtnLgXEdytpump,FfiDvi6xven5ytstnZLqtU17tLqQpk22B9rxhA2cuybX,False,1
24Kqyw51bPrWm7EtPf51jD15hxNEvHDKtM5d6zLCpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1257
24YmyjeKkR2mM9WNpHv64cNNfRUM3P88TNhCkbSTpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,251
24hHaxPLbZXBZQwGis2bqkpCNE2qb83VoVzm7T7Wpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,615
24ixkECVoA89tmdKU3mr1GDTRB8XwqP14QLsdNq1pump,52mXWzgdyhTYx5nBPxZEDCUn8RP6oPszZNrtBRiYAsJs,False,1
24nb3XQwvE3BBRZ7QwB6F6tyAtEJXvarLq4Rj3XCpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
24sSC4pK7sCRQKuMedmDV9adHmcHHM37zQF7dmCRpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,2001
24yg89wEw6toQVdmF5YaSYdN6QcrKSP6FAXuhbwJpump,,False,24601
252DUMSA9x3nXF6Egz1y22T5LYggiY5gGUkqcgiapump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,24600
25TBkmj6tMjfTdt6soghu35CqJUnhBH8z9HpoyHzpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1332
25csXP6nGdyMdMUXA7KnAbgD1dhGR1kPCVJ7Qv1Lpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
25q5DfJMahoe9LrGjbLZd9w2bBGVGBhWbY7hxnyHpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,206
25skNZqQeebbGRbpGQNAaESHFxgMYJ4UKQ2VfS3gpump,G23PW9vHVtrL1geQvw8QHaWJ6wyW2madPKw6mprhiwVG,False,12821
25xceWPL1TE6B951LJfE75RMxwHFbdo5CnZpgXWWpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1024
25yPXcALwkJQg22yKD9HMjfbP5Pvhjh6XgQu7tcVpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,2001
26AZi1Np3gunGKRY3pLbdcn15kWboijGBY6uof6jpump,CVzBmYdkH31QvmxQwGExRqNqKGHY4Z6yxVmDDbfzKrWu,False,1190
26CJPUyZpA6PzUbk77u9cZBWz3vcp2PiyjXfZdv3pump,v66FxHrmAtEmuTaPTEUUEWeASh8ZMZ6SDokPfUyQaJb,False,24601
26EsJhaXN4ta3FpFYn9KwcSGRrxd7gBTmBnfaWmwpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1168
26LDHcthoC5jeQtYJFyRJ14yFVYqwsrMDznAUhWepump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
