pool,verdict,liquidity_usd,scam_mint,scam_sym,quote_sym,dex
13mbycSuYBv8aXAZCZuUR3ncS75jpXC3CpGSa1fxFk7L,rug_completed,0,,,,
13nbf84dce7a3UH9poJzcSA3V21RoeTtp7CLwBwvGpt1,rug_completed,0,,,,
13oEgPXu3CUXWBmyWHgfFqZkGaNTTUgquhPVjfBhseRR,rug_completed,0,,,,
13rji8jAirHfhVLWJ7BsFoVXqf76du1P3zwHb4daUcMg,rug_completed,0,,,,
13tEgqn1ubq3KVb8kaN2BURrDkp1c1Es4aGp1aXA8Rp5,rug_completed,0,,,,
13tvJ7A6vTMfM584oTm1Mcpa6L6zFPffnQNfqK8dyBXg,rug_completed,0,,,,
13uCPybNakXHGVd2DDVB7o2uwXuf9GqPFkvJMVgKy6UJ,scam_pool_active,29877.61,HfYFjMKNZygfMC8LsQ8LtpPsPxEJoXJx4M6tqi75Hajo,CWAR,USDC,raydium
13ui6JhapWjjPEzovBK5UVtdmK8jdx1zMPQdL1ZZvhMS,rug_completed,0,,,,
13wWy2kyJjWJsQPftTDgCPeRSQ6eCC6pNCQk5NobW96D,rug_completed,0,,,,
13xJtaQiFPviDaKUZuMEhfaT1RieD7YnSK8ReZ9XFDZ7,rug_completed,0,,,,
13xrjhJgA41gLTyPFkuEYa45tNxrYhAnqEneHzsmxRrx,rug_completed,0,,,,
13ztuDnY8HvZCkBK7XwRv5jT5fd9KS7bgdXp1mL1Gd3H,scam_pool_active,2395.8,Fishy64jCaa3ooqXw7BHtKvYD8BTkSyAPh6RNE3xZpcN,FISHY,SOL,orca
142x5kWxxdkHuJXk3G5GT2ngsUZA9hjxdLPGtFENFW2h,rug_completed,0,,,,
146FUJczvkXam3JRxrNEegNjcH9mTFqd24q1g3YsHfL7,rug_completed,0,,,,
146gLEkasPdaxgwEyiZEiHu7xKYT7mzz8bgAZMHZxDBZ,rug_completed,0,,,,
147THj4mHtFuJuKhi49dfUdHLPF2RZnBf8CiUxtthZKy,rug_completed,0,,,,
1482U6Rhfgfm3sdrSH1sCnoH2fzkXowD9Rv4JshWdoYq,scam_pool_active,7523.76,DcUoGUeNTLhhzyrcz49LE7z3MEFwca2N9uSw1xbVi1gm,KPOP,SOL,raydium
149BfxBeQL7LpMJhVs6cJe8itp4UyezDTBVz573iKGai,rug_completed,0,,,,
149VNemHQ2vuKYg19jJ1HyuSB4YS6RnxJQsuRwXgAvc3,rug_completed,0,,,,
149z5bhjwxwvdH8tGDBAsEUJqNDz6cRYwrtZm9NKGZ5Y,rug_completed,0,,,,
14CApvgatuePoHhgPv6QXYEiKoSRTtCM7b4PNTPobaVP,rug_completed,0,,,,
14DYF55K79zBLefYidKoNm5uY5RdsVqNS7CoChhL58o3,rug_completed,0,,,,
14Ek2yd4z7yedrBvedHhqHjhVtfGJiqvgLnWbe9KomDi,rug_completed,0,,,,
14FDBjFZYLfyQWrW8chmocQBpb5TkxQpQosggzD4kMCV,rug_completed,0,,,,
14G98eqaHGRjUSfiJNokhgZzQFrvyJumLNe9SYjBYUoh,rug_completed,0,,,,
14Ghvv3isps8CNdf6PazgZb1TQS2L1yvJqanvezsiszU,scam_pool_active,272.82,H1G6sZ1WDoMmMCFqBKAbg9gkQPCo1sKQtaJWz9dHmqZr,SBONK,SOL,raydium
14JF8j4SejTLJy6VGJKzAUGLE81Pt4BC4gLZnaMKsQ2x,rug_completed,0,,,,
14KSgWtuJuXjTE2QFqg6tj9DnqisJHuyFGbYcCGheDwo,rug_completed,0,,,,
14L3qTTtEExWJjbRTuZdb6bLXqLSMgj58nyTVDYuAKnn,rug_completed,0,,,,
14LoyZvP42z3veEg1wLDiLBeNmoeCttooqcNhWDdztNU,rug_completed,0,,,,
14MDXFwbr5gPdzTS43XBD6oZEjiKifTziujR1216jrBe,rug_completed,0,,,,
14MvCeh4u8jQw4ZxVX2XgFMx2tH5nWWr8hfdyfTvtoHd,rug_completed,0,,,,
14N4krkQow9G9eKEbQTxmc8798FNidiJzZhs5WyGNgtD,rug_completed,0,,,,
14NX29ha963UR8ueyfDP4nLa3DxqGU4davgyPKVuYt4N,rug_completed,0,,,,
14NizY9Qkp7QpHRfHinTAZpzYiJJ5Km5Mg7ktvWTuU2W,rug_completed,0,,,,
