address,type,owner
25CTkX16ra8B2vc4YDL7xJ2wrGEZBCmfsYGrZarHg5Vc,EMPTY,
25GMh7eciW41TDRdNCvCD8f5WJDjMdeqXTCAhcxUdgHs,WALLET,11111111111111111111111111111111
25GgNc5xpqaaQeZ9ignVYa7tS18nBoNshHbUEKSLXzKX,WALLET,11111111111111111111111111111111
25Nb81eZQGfvTtEW2RyU64dLWxeMoYCCJF7EKDLK6BPR,EMPTY,
25NxjFrBuCAZyiWVPSCN52GjXYdeJ3R4nVTSuc7ZxXZc,EMPTY,
25S13Dzogrcq49EMUdhkhsfUBFSSAgTHJTgcWfcY51nG,EMPTY,
25ZNSdbe5yxkMxrg5rdnqQRWzSPCkSyoVpW4RdZpfNHt,EMPTY,
25aCrKFfwXyQPNAQsgZJvZD89z18yqapAuUkpTovG9BW,WALLET,11111111111111111111111111111111
25eVxQbK9rQ3Ea3qHCWbdnyeataYxuGE6PiakAfRQNLd,EMPTY,
25f54WHJPdCefYynedNsVYq1jsMAMNrwtTwGZMUb3qSu,WALLET,11111111111111111111111111111111
25f5nAcLYnWLHa6SMheitJSdSQhXnU2BsVKNkSa7BwfS,EMPTY,
25fJGA2dtQUPyK8GpaXJLfopk4sb7guAdrYMGErU59fS,EMPTY,
25iE5m1rsn84nfouCBYvQJGeKwpEbDfiZanb5SBzdmKZ,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
25mYnjJ2MXHZH6NvTTdA63JvjgRVcuiaj6MRiEQNs1Dq,WALLET,11111111111111111111111111111111
25q9NJz65pSgAKNWM2p3d879ZpRN8YpvZSvVUqv2jFn7,EMPTY,
25skNZqQeebbGRbpGQNAaESHFxgMYJ4UKQ2VfS3gpump,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
261efuwJk5isbZDtmRLZ9dJpGX88JxpiSAEZo5i6BEK1,EMPTY,
263MJggguA3tmz7NwPLNr1yJYqVj8YcwaqJaSTMkLBfZ,EMPTY,
263XhbZQaCdnuYnGDyxc5KmLoN4Uh76hAEVJCASEyyCX,WALLET,11111111111111111111111111111111
267y1FyB6gKVduWRPk1YYRZqSP5eUqfTv2QYm8UqArvB,EMPTY,
